"Name","model_name","ID","Notes","State","censor_dynamic","censor_level","censored","covariates","forecast_lead","hidden_dim","learning_rate","log_every_n_steps","logger","loss","max_epochs","max_steps","mode","move_metrics_to_cpu","multiple_trainloader_mode","no_self_loops","num_nodes","num_sanity_val_steps","overfit_batches","precision","reload_dataloaders_every_n_epochs","replace_sampler_ddp","save_predictions","sequence_length","sync_batchnorm","test_end","track_grad_norm","train_end","train_start","val_end","weight_decay","cluster","epoch","test_loss","test_loss_true","test_mae","test_mse","test_rmse","train_loss","train_loss_true","train_mae","train_mse","train_rmse","trainer/global_step","val_loss","val_loss_true","val_mae","val_mse","val_rmse"
"flowing-monkey-453","AR","1m76tslb","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","MPL","30","0.935559093952179","0.8783208131790161","0.7974424362182617","0.8993374109268188","0.924644410610199","1.0442588329315186","0.4715951383113861","0.9107958674430848","1.4168187379837036","1.1662778854370115","28410","0.9310248494148254","0.8732868432998657","0.777398943901062","0.8623663187026978","0.9060750603675842"
"hardy-darkness-452","AR","n09u1j27","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","BRYANT","30","1.504065752029419","-0.4855634868144989","1.2419778108596802","3.182942152023315","1.6572444438934326","1.3890260457992554","-0.22332026064395905","1.1563068628311155","2.7855284214019775","1.620571851730347","28410","1.5168622732162476","-0.717263400554657","1.2601393461227417","3.269214630126953","1.6823712587356567"
"fancy-pine-451","AR","ytf0jgcd","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","WEBSTER","30","1.1114939451217651","-0.001435709884390235","1.0700644254684448","2.077369213104248","1.365874409675598","1.0508222579956057","-0.6402104496955872","1.2491679191589355","2.8260743618011475","1.6287310123443604","28410","1.0502198934555054","-0.16153275966644287","1.1168538331985474","2.305612087249756","1.4214261770248413"
"atomic-gorge-450","AR","7eks3fxf","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HIGH","30","1.42907977104187","-0.09599465876817705","1.3444998264312744","3.6139211654663086","1.7403422594070437","1.3741337060928345","-0.5846571922302246","1.2903919219970703","3.323176145553589","1.768268585205078","28410","1.4242095947265625","-0.1650397777557373","1.2936214208602903","3.3866066932678223","1.6806097030639648"
"clean-morning-449","AR","3nwik856","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","TED","30","1.33207905292511","0.24710114300251007","1.0870174169540403","2.46146297454834","1.3925217390060425","1.0326802730560305","0.7410545349121094","0.715502142906189","0.9825642704963684","0.9563815593719482","28410","1.283437728881836","0.21004162728786469","1.1773560047149658","3.064202308654785","1.5407029390335083"
"fanciful-microwave-448","AR","yrljtdw0","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","HAMILTON","30","0.6085530519485474","0.7231175899505615","1.1403348445892334","2.4052653312683105","1.4738670587539673","0.6436307430267334","0.6896975040435791","1.0503603219985962","2.054084062576294","1.3909324407577517","28410","0.6584383249282837","0.7570328712463379","1.1369860172271729","2.4069387912750244","1.4559369087219238"
"prime-leaf-447","AR","0wqumqhw","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","RINCONADA","30","0.9614890217781068","0.8923142552375793","0.7112574577331543","0.7321140170097351","0.8283978700637817","0.8740695118904114","0.7962428331375122","0.7427601218223572","0.8492202162742615","0.9092571139335632","28410","1.009347915649414","0.9398909211158752","0.7094089388847351","0.7294610142707825","0.8219130039215088"
"copper-blaze-446","AR","lu5ztz6g","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","CAMBRIDGE","30","1.660956859588623","-0.4703466892242432","1.3414183855056765","3.778536558151245","1.7973251342773438","1.0491065979003906","0.3876480758190155","1.110146164894104","2.093392133712769","1.4226330518722534","28410","1.538949966430664","-0.056534670293331146","1.221598982810974","3.284885883331299","1.614905834197998"
"earthy-armadillo-445","AR","rg6161l9","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","MPL","30","0.8967947363853455","0.8273918032646179","0.7408339977264404","0.7843677997589111","0.8631727695465088","1.042123556137085","0.4680642783641815","0.905441164970398","1.3846051692962646","1.1565309762954712","28410","0.8941835761070251","0.8242756128311157","0.7275562882423401","0.7507587671279907","0.8467132449150085"
"fiery-tree-444","AR","j9l071zr","-","finished","true","2","true","false","48","","0.0005927787748490534","50","true","CPNLL","30","-1","train","false","max_size_cycle","","1","2","0","32","0","true","false","336","false","2019-07-01","-1","2018-10-01","2017-01-01","2019-04-01","0.06470644058196104","BRYANT","30","1.4993435144424438","-0.4926747083663941","1.3306583166122437","3.367156505584717","1.722138285636902","1.385381102561951","-0.22765278816223145","1.1502532958984375","2.7384636402130127","1.6139518022537231","28410","1.4821768999099731","-0.7484952807426453","1.345725417137146","3.548884153366089","1.7398033142089844"
